id;LOCphy_C;MVG_C;Volume_C;MI_C;qwen2_5_coder_32b_SLOC_R;qwen2_5_coder_32b_Cyclomatic_R;qwen2_5_coder_32b_Volume_R;qwen2_5_coder_32b_MI_R;qwen2_5_coder_32b_total_unsafe_block_R;qwen2_5_coder_32b_avg_unsafe_stmt_R;qwen2_5_coder_32b_total_uniq_type_R
gprolog-1.5.0:arith_inl_c_prep:Pl_Fct_Rem;5.0;3.0;364.562;113.564;5.0;3.0;220.4183328392555;116.18036409947871;0;0.0;2
transcoder-set:POSSIBLE_TO_MAKE_A_DIVISIBLE_BY_3_NUMBER_USING_ALL_DIGITS_IN_AN_ARRAY_prep:max;1.0;2.0;83.7618;147.515;3.0;2.0;71.69925001442311;130.5255834285715;0;0.0;2
transcoder-set:COUNT_PAIRS_DIFFERENCE_EQUAL_K_1_prep:len;1.0;1.0;121.114;145.827;3.0;1.0;98.09910819000814;129.1253938899138;0;0.0;1
transcoder-set:COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS_prep:sort;1.0;1.0;110.361;146.31;5.0;1.0;149.33879237447786;118.66477482294698;1;1.0;2
nano-7.2:search_prep:find_a_bracket;31.0;8.0;1248.31;76.4558;27.0;5.0;671.9360752197906;82.60459407957569;0;0.0;2
json.h:allow_multi_line_strings_prep:json_parse;4.0;1.0;131.686;122.934;5.0;1.0;129.26767504471167;119.41530249325146;1;1.0;2
wget-1.21.4:spider_prep:print_broken_links;23.0;5.0;860.766;83.9143;13.0;4.0;442.6092671887795;96.84584610870257;0;0.0;0
findutils-4.9.0:util_prep:following_links;14.0;4.0;187.983;100.098;7.0;4.0;151.30376252379816;112.45595024533955;0;0.0;0
cflow-1.7:hash_prep:hash_remove;42.0;8.0;1201.55;71.7346;34.0;9.0;1161.7081005352559;75.1031966534384;1;14.0;2
transcoder-set:HEXAGONAL_NUMBER_prep:main;14.0;3.0;555.409;94.6948;12.0;3.0;436.39810378076373;98.4460267476268;1;1.0;2
transcoder-set:MINIMUM_INSERTIONS_SORT_ARRAY_prep:max;1.0;2.0;83.7618;147.515;3.0;2.0;71.69925001442311;130.5255834285715;0;0.0;2
avl:avl_prep:preOrder;9.0;2.0;209.593;107.15;9.0;2.0;167.5859764912639;108.31317998443733;1;4.0;1
optipng-0.7.8:bitset_prep:opng_bitset_find_last;11.0;3.0;243.003;102.9;10.0;3.0;206.81934759820803;105.28252387788767;0;0.0;1
patch-2.7.6:dirname-lgpl_prep:dir_len;19.0;9.0;656.548;87.4977;25.0;10.0;590.194111964939;83.37586390930885;0;0.0;2
transcoder-set:SUM_BINOMIAL_COEFFICIENTS_prep:len;1.0;1.0;121.114;145.827;3.0;1.0;121.11360846386408;128.02949002988194;0;0.0;1
libxml2:threads_prep:xmlInitParser;4.0;1.0;53.7744;127.591;3.0;2.0;51.89147427955946;132.20687749961726;0;0.0;0
libxml2:libxml2-py_prep:libxml_xmlReadFd;14.0;2.0;539.271;95.0781;12.0;2.0;524.6169884132792;97.71863633102129;0;0.0;6
transcoder-set:FIND_LARGEST_D_IN_ARRAY_SUCH_THAT_A_B_C_D_prep:f_filled;1.0;1.0;44.9726;150.979;3.0;1.0;55.506595772116384;132.0866712701303;0;0.0;2
nettle-3.9.1:der-iterator_prep:nettle_asn1_der_get_uint32;26.0;10.0;823.011;81.0114;28.0;10.0;868.1631050673805;79.5331129835901;0;0.0;4
libxml2:parserInternals_prep:xmlFreeInputStream;11.0;7.0;670.439;96.7028;16.0;7.0;488.5446912541574;92.27862173891212;1;10.0;1
gprolog-1.5.0:c_supp_prep:Pl_Rd_C_Int_Positive;5.0;1.0;70.3084;122.582;3.0;1.0;66.60791492653966;131.13859917480173;0;0.0;1
less-633:optfunc_prep:opt__P;27.0;10.0;972.147;79.534;32.0;11.0;1269.739825094486;75.1629284337014;1;35.0;3
mtools-4.0.43:init_prep:fsReleasePreallocateClusters;4.0;1.0;72.0;126.073;5.0;1.0;78.13781191217038;122.03304056571494;1;1.0;2
transcoder-set:TRIANGULAR_NUMBERS_1_prep:f_filled;1.0;1.0;24.0;154.244;3.0;1.0;38.039100017307746;134.05168511513583;0;0.0;1
transcoder-set:MAXIMUM_LENGTH_SUBSEQUENCE_DIFFERENCE_ADJACENT_ELEMENTS_EITHER_0_1_prep:len;1.0;1.0;121.114;145.827;3.0;1.0;48.432042660922164;132.79564043134945;0;0.0;1
gprolog-1.5.0:fd_range_prep:Pl_Vector_Add_Vector;19.0;9.0;1647.69;82.713;13.0;1.0;413.63869519641605;97.8878574546026;1;3.0;2
transcoder-set:RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM_prep:min;1.0;2.0;83.7618;147.515;3.0;2.0;75.28421251514428;130.27187457489046;0;0.0;2
transcoder-set:FIND_MINIMUM_ELEMENT_IN_A_SORTED_AND_ROTATED_ARRAY_prep:f_gold;9.0;8.0;660.929;99.798;11.0;8.0;738.4131112593909;95.97067869609256;1;12.0;3
make-4.4.1:variable_prep:lookup_variable;20.0;6.0;775.26;86.4925;22.0;6.0;766.3576456637802;85.0085376577666;0;0.0;5
libxml2:parserInternals_prep:xmlParserInputGrow;27.0;11.0;1647.56;76.5608;13.0;5.0;306.49450852513183;98.52678124894834;0;0.0;2
transcoder-set:DICE_THROW_PROBLEM_1_prep:sort;1.0;1.0;110.361;146.31;3.0;1.0;123.18989788986397;127.94110026310747;0;0.0;2
uucp-1.07:lcksys_prep:fsysdep_lock_system;6.0;1.0;104.248;117.58;3.0;1.0;72.33974351909448;130.70933778224418;1;1.0;1
transcoder-set:FIND_THE_MISSING_NUMBER_1_prep:f_gold;10.0;2.0;255.412;104.415;9.0;2.0;254.78981086905299;106.13467938952927;0;0.0;4
